CONTINENT GMI>>,<<NAME>>,<<FIPS CODE>>,<<ISO 2 CHARACTOR CODE>>,<<ISO 3 CHARACTOR CODE>>,<<GMI CODE
OA-001>>,<<Solomon Islands>>,<<SB>>,<<SB>>,<<SOL>>,<<SOL>>,<<SOL
AF-001>>,<<Somalia>>,<<SO>>,<<SO>>,<<SOM>>,<<SOM>>,<<SOM
AF-001>>,<<South Africa>>,<<SF>>,<<ZA>>,<<ZAF>>,<<ZAF>>,<<ZAF
AS-001>>,<<South Korea>>,<<KS>>,<<KR>>,<<KOR>>,<<KOR>>,<<KOR
EU-001>>,<<Spain>>,<<SP>>,<<ES>>,<<ESP>>,<<ESP>>,<<ESP
AS-001>>,<<Sri Lanka>>,<<CE>>,<<LK>>,<<LKA>>,<<LKA>>,<<LKA
AF-001>>,<<Sudan>>,<<SU>>,<<SD>>,<<SDN>>,<<SDN>>,<<SDN
AF-001>>,<<South Sudan>>,<<SS>>,<<SS>>,<<SSD>>,<<SSD>>,<<SSD
AM-001>>,<<Suriname>>,<<NS>>,<<SR>>,<<SUR>>,<<SUR>>,<<SUR
EU-001>>,<<Svalbard>>,<<SV>>,<<SJ>>,<<SJM>>,<<SJM>>,<<SJM
AF-001>>,<<Swaziland>>,<<WZ>>,<<SZ>>,<<SWZ>>,<<SWZ>>,<<SWZ
EU-001>>,<<Sweden>>,<<SW>>,<<SE>>,<<SWE>>,<<SWE>>,<<SWE
EU-001>>,<<Switzerland>>,<<SZ>>,<<CH>>,<<CHE>>,<<CHE>>,<<CHE
AS-001>>,<<Syria>>,<<SY>>,<<SY>>,<<SYR>>,<<SYR>>,<<SYR
AS-001>>,<<Tajikistan>>,<<TI>>,<<TJ>>,<<TJK>>,<<TJK>>,<<TJK
AF-001>>,<<Tanzania>>,<<TZ>>,<<TZ>>,<<TZA>>,<<TZA>>,<<TZA
AS-001>>,<<Thailand>>,<<TH>>,<<TH>>,<<THA>>,<<THA>>,<<THA
AM-001>>,<<The Bahamas>>,<<BF>>,<<BS>>,<<BHS>>,<<BHS>>,<<BHS
AF-001>>,<<The Gambia>>,<<GA>>,<<GM>>,<<GMB>>,<<GMB>>,<<GMB
AS-001>>,<<Timor-Leste>>,<<TT>>,<<TL>>,<<TLS>>,<<>>,<<TLS
AF-001>>,<<Togo>>,<<TO>>,<<TG>>,<<TGO>>,<<TGO>>,<<TGO
OA-001>>,<<Tokelau>>,<<TL>>,<<TK>>,<<TKL>>,<<TKL>>,<<TKL
OA-001>>,<<Tonga>>,<<TN>>,<<TO>>,<<TON>>,<<TON>>,<<TON
AM-001>>,<<Trinidad and Tobago>>,<<TD>>,<<TT>>,<<TTO>>,<<TTO>>,<<TTO
AF-001>>,<<Tunisia>>,<<TS>>,<<TN>>,<<TUN>>,<<TUN>>,<<TUN
AF-001>>,<<Turkey>>,<<TU>>,<<TR>>,<<TUR>>,<<TUR>>,<<TUR
AS-001>>,<<Turkmenistan>>,<<TX>>,<<TM>>,<<TKM>>,<<TKM>>,<<TKM
AM-001>>,<<Turks and Caicos Islands>>,<<TK>>,<<TC>>,<<TCA>>,<<TCA>>,<<TCA
OA-001>>,<<Tuvalu>>,<<TV>>,<<TV>>,<<TUV>>,<<TUV>>,<<TUV
AF-001>>,<<Uganda>>,<<UG>>,<<UG>>,<<UGA>>,<<UGA>>,<<UGA
EU-001>>,<<Ukraine>>,<<UP>>,<<UA>>,<<UKR>>,<<UKR>>,<<UKR
AS-001>>,<<United Arab Emirates>>,<<TC>>,<<AE>>,<<UAE>>,<<UAE>>,<<UAE
EU-001>>,<<United Kingdom>>,<<UK>>,<<GB>>,<<GBR>>,<<GBR>>,<<GBR
AM-001>>,<<United States>>,<<US>>,<<US>>,<<USA>>,<<USA>>,<<USA
AM-001>>,<<United States Virgin Islands>>,<<VQ>>,<<VI>>,<<VIR>>,<<VIR>>,<<VIR
AM-001>>,<<Uruguay>>,<<UY>>,<<UY>>,<<URY>>,<<URY>>,<<URY
AS-001>>,<<Uzbekistan>>,<<UZ>>,<<UZ>>,<<UZB>>,<<UZB>>,<<UZB
OA-001>>,<<Vanuatu>>,<<NH>>,<<VU>>,<<VUT>>,<<VUT>>,<<VUT
EU-001>>,<<Vatican City (Holy See)>>,<<VT>>,<<VA>>,<<VAT>>,<<VAT>>,<<VAT
AM-001>>,<<Venezuela>>,<<VE>>,<<VE>>,<<VEN>>,<<VEN>>,<<VEN
AS-001>>,<<Vietnam>>,<<VM>>,<<VN>>,<<VNM>>,<<VNM>>,<<VNM
OA-001>>,<<Wallis and Futuna>>,<<WF>>,<<WF>>,<<WLF>>,<<WLF>>,<<WLF
AF-001>>,<<Western Sahara>>,<<WI>>,<<EH>>,<<ESH>>,<<ESH>>,<<ESH
AS-001>>,<<Yemen>>,<<YM>>,<<YE>>,<<YEM>>,<<YEM>>,<<YEM
AF-001>>,<<Zambia>>,<<ZA>>,<<ZM>>,<<ZMB>>,<<ZMB>>,<<ZMB
AF-001>>,<<Zimbabwe>>,<<ZI>>,<<ZW>>,<<ZWE>>,<<ZWE>>,<<ZWE
