PROVINCE NAME>>,<<CHINESE NAME>>,<<PROVINCE GMI
Quintana Roo>>,<<Quintana Roo>>,<<MEX-QRO
Yucatan>>,<<Yucatan>>,<<MEX-YCT
Cartago>>,<<Cartago>>,<<CRI-CRT
Heredia>>,<<Heredia>>,<<CRI-HER
Limon>>,<<Limon>>,<<CRI-LIM
Puntarenas>>,<<Puntarenas>>,<<CRI-PNT
San Jose>>,<<San Jose>>,<<CRI-SJO
Bocas del Toro>>,<<Bocas del Toro>>,<<PAN-BDT
Chiriqui>>,<<Chiriqui>>,<<PAN-CHR
Alajuela>>,<<Alajuela>>,<<CRI-ALJ
Guanacaste>>,<<Guanacaste>>,<<CRI-GNC
Esmeraldas>>,<<Esmeraldas>>,<<ECU-ESM
Cocle>>,<<Cocle>>,<<PAN-COC
Colon>>,<<Colon>>,<<PAN-COL
Herrera>>,<<Herrera>>,<<PAN-HRR
Los Santos>>,<<Los Santos>>,<<PAN-LSN
Panama>>,<<Panama>>,<<PAN-PAN
Veraguas>>,<<Veraguas>>,<<PAN-VRG
San Andres y Providencia>>,<<San Andres y Providencia>>,<<COL-SAY
Atlantida>>,<<Atlantida>>,<<HND-ATL
Colon>>,<<Colon>>,<<HND-COL
Francisco Morazan>>,<<Francisco Morazan>>,<<HND-FMR
Gracias a Dios>>,<<Gracias a Dios>>,<<HND-GAD
Islas de la Bahia>>,<<Islas de la Bahia>>,<<HND-IDL
Olancho>>,<<Olancho>>,<<HND-OLN
Yoro>>,<<Yoro>>,<<HND-YOR
Zelaya>>,<<Zelaya>>,<<NIC-ZEL
Ahuachapan>>,<<Ahuachapan>>,<<SLV-AHC
Cabanas>>,<<Cabanas>>,<<SLV-CBN
Cuscatlan>>,<<Cuscatlan>>,<<SLV-CSC
La Libertad>>,<<La Libertad>>,<<SLV-LLB
La Paz>>,<<La Paz>>,<<SLV-LPA
Sonsonate>>,<<Sonsonate>>,<<SLV-SNS
San Salvador>>,<<San Salvador>>,<<SLV-SSL
Valle>>,<<Valle>>,<<HND-VAL
La Union>>,<<La Union>>,<<SLV-LUN
Morazan>>,<<Morazan>>,<<SLV-MRZ
San Miguel>>,<<San Miguel>>,<<SLV-SMI
San Vicente>>,<<San Vicente>>,<<SLV-SVC
Usulutan>>,<<Usulutan>>,<<SLV-USL
Stann Creek>>,<<Stann Creek>>,<<BLZ-SCR
Toledo>>,<<Toledo>>,<<BLZ-TOL
Izabal>>,<<Izabal>>,<<GTM-IZB
Comayagua>>,<<Comayagua>>,<<HND-CMY
Cortes>>,<<Cortes>>,<<HND-CRT
Intibuca>>,<<Intibuca>>,<<HND-INT
La Paz>>,<<La Paz>>,<<HND-LPA
Santa Barbara>>,<<Santa Barbara>>,<<HND-SBR
Chiquimula>>,<<Chiquimula>>,<<GTM-CHQ
Jalapa>>,<<Jalapa>>,<<GTM-JAL
Jutiapa>>,<<Jutiapa>>,<<GTM-JUT
Zacapa>>,<<Zacapa>>,<<GTM-ZAC
Copan>>,<<Copan>>,<<HND-COP
Lempira>>,<<Lempira>>,<<HND-LMP
Ocotepeque>>,<<Ocotepeque>>,<<HND-OCT
Chalatenango>>,<<Chalatenango>>,<<SLV-CHL
Santa Ana>>,<<Santa Ana>>,<<SLV-SAN
Carazo>>,<<Carazo>>,<<NIC-CAR
Granada>>,<<Granada>>,<<NIC-GRN
Jinotega>>,<<Jinotega>>,<<NIC-JNT
Leon>>,<<Leon>>,<<NIC-LEO
Managua>>,<<Managua>>,<<NIC-MAN
Masaya>>,<<Masaya>>,<<NIC-MAS
Rivas>>,<<Rivas>>,<<NIC-RIV
Choluteca>>,<<Choluteca>>,<<HND-CHL
El Paraiso>>,<<El Paraiso>>,<<HND-EPA
Chinandega>>,<<Chinandega>>,<<NIC-CHN
Esteli>>,<<Esteli>>,<<NIC-EST
Madriz>>,<<Madriz>>,<<NIC-MDR
Matagalpa>>,<<Matagalpa>>,<<NIC-MTG
Nueva Segovia>>,<<Nueva Segovia>>,<<NIC-NSE
Boaco>>,<<Boaco>>,<<NIC-BOA
Chontales>>,<<Chontales>>,<<NIC-CHT
Rio San Juan>>,<<Rio San Juan>>,<<NIC-RSJ
Monte Cristi>>,<<Monte Cristi>>,<<DOM-MCR
Puerto Plata>>,<<Puerto Plata>>,<<DOM-PPL
Grand Anse>>,<<Grand Anse>>,<<HTI-GAN
Nord-Ouest>>,<<Nord-Ouest>>,<<HTI-NOU
Sud>>,<<Sud>>,<<HTI-SUD
Turks & Caicos Is.>>,<<Turks & Caicos Is.>>,<<TCA
Ciego de Avila>>,<<Ciego de Avila>>,<<CUB-CDA
Camaguey>>,<<Camaguey>>,<<CUB-CMG
Guantanamo>>,<<Guantanamo>>,<<CUB-GNT
Granma>>,<<Granma>>,<<CUB-GRN
Holguin>>,<<Holguin>>,<<CUB-HLG
Las Tunas>>,<<Las Tunas>>,<<CUB-LTU
Santiago de Cuba>>,<<Santiago de Cuba>>,<<CUB-SDC
Guantanamo Bay>>,<<关塔那摩湾>>,<<USA-PS1
Clarendon>>,<<Clarendon>>,<<JAM-CLR
Hanover>>,<<Hanover>>,<<JAM-HNV
Manchester>>,<<Manchester>>,<<JAM-MNC
Saint Elizabeth>>,<<Saint Elizabeth>>,<<JAM-SEL
Saint James>>,<<Saint James>>,<<JAM-SJA
Trelawny>>,<<Trelawny>>,<<JAM-TRL
Westmoreland>>,<<Westmoreland>>,<<JAM-WST
Kingston>>,<<Kingston>>,<<JAM-KNG
Portland>>,<<Portland>>,<<JAM-PRT
Saint Ann>>,<<Saint Ann>>,<<JAM-SAN
Saint Catherine>>,<<Saint Catherine>>,<<JAM-SCT
Saint Mary>>,<<Saint Mary>>,<<JAM-SMA
Saint Andrew>>,<<Saint Andrew>>,<<JAM-SND
Saint Thomas>>,<<Saint Thomas>>,<<JAM-STH
Artibonite>>,<<Artibonite>>,<<HTI-ART
Centre>>,<<Centre>>,<<HTI-CNT
Nord-Est>>,<<Nord-Est>>,<<HTI-NES
Nord>>,<<Nord>>,<<HTI-NOR
Ouest>>,<<Ouest>>,<<HTI-OUE
Sud-Est>>,<<Sud-Est>>,<<HTI-SES
Dajabon>>,<<Dajabon>>,<<DOM-DJB
Espaillat>>,<<Espaillat>>,<<DOM-ESP
Salcedo>>,<<Salcedo>>,<<DOM-SLC
Santiago>>,<<Santiago>>,<<DOM-SNT
Santiago Rodrigu>>,<<Santiago Rodrigu>>,<<DOM-SRD
Valverde>>,<<Valverde>>,<<DOM-VLV
Baoruco>>,<<Baoruco>>,<<DOM-BAO
Barahona>>,<<Barahona>>,<<DOM-BRH
Independencia>>,<<Independencia>>,<<DOM-IND
La Estrelleta>>,<<La Estrelleta>>,<<DOM-LST
Pedernales>>,<<Pedernales>>,<<DOM-PDR
San Juan>>,<<San Juan>>,<<DOM-SJU
Azua>>,<<Azua>>,<<DOM-AZU
La Vega>>,<<La Vega>>,<<DOM-LVE
Monsenor Novel>>,<<Monsenor Novel>>,<<DOM-MNV
Peravia>>,<<Peravia>>,<<DOM-PER
Distrito Nacional>>,<<Distrito Nacional>>,<<DOM-DNC
