CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Bahia Blanca>>,<<Buenos Aires>>,<<ARG-BAI>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG013
Viedma>>,<<Rio Negro>>,<<ARG-RNE>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG014
Rawson>>,<<Chubut>>,<<ARG-CHB>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG015
Buenos Aires>>,<<Distrito Federal>>,<<ARG-DFD>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG016
San Salvador De Jujuy>>,<<Jujuy>>,<<ARG-JUJ>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG017
Salta>>,<<Salta>>,<<ARG-SAL>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG018
San Miguel De Tucuman>>,<<Tucuman>>,<<ARG-TCM>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG019
Santiago Del Estero>>,<<Santiago del Estero>>,<<ARG-SDE>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG020
Catamarca>>,<<Catamarca>>,<<ARG-CTM>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG021
La Rioja>>,<<La Rioja>>,<<ARG-LRI>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG022
Cordoba>>,<<Cordoba>>,<<ARG-CRD>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG023
San Luis>>,<<San Luis>>,<<ARG-SLU>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG024
Caacupe>>,<<Cordillera>>,<<PRY-CRD>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY013
Coronel Oviedo>>,<<Caaguazu>>,<<PRY-CAA>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY014
Paraguari>>,<<Paraguari>>,<<PRY-PRG>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY015
Villarrica>>,<<Guaira>>,<<PRY-GUA>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY016
Formosa>>,<<Formosa>>,<<ARG-FRM>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG025
