PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
San Luis>>,<<AR19>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SLU>>,<<ARG-SLU
Colonia>>,<<UY04>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-COL>>,<<URY-COL
San Jose>>,<<UY16>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-SJO>>,<<URY-SJO
Cordoba>>,<<AR05>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-CRD>>,<<ARG-CRD
Catamarca>>,<<AR02>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-CTM>>,<<ARG-CTM
Jujuy>>,<<AR10>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-JUJ>>,<<ARG-JUJ
La Rioja>>,<<AR12>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-LRI>>,<<ARG-LRI
Salta>>,<<AR17>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SAL>>,<<ARG-SAL
Santiago del Estero>>,<<AR22>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SDE>>,<<ARG-SDE
Tucuman>>,<<AR24>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-TCM>>,<<ARG-TCM
Chaco>>,<<AR03>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-CHA>>,<<ARG-CHA
Formosa>>,<<AR09>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-FRM>>,<<ARG-FRM
Boqueron>>,<<PA03>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-BQR>>,<<PRY-BQR
Concepcion>>,<<PA07>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CNC>>,<<PRY-CNC
Cordillera>>,<<PA08>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CRD>>,<<PRY-CRD
Presidente Hayes>>,<<PA16>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-PHA>>,<<PRY-PHA
San Pedro>>,<<PA17>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-SPE>>,<<PRY-SPE
Central>>,<<PA06>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CNT>>,<<PRY-CNT
Guaira>>,<<PA10>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-GUA>>,<<PRY-GUA
Misiones>>,<<PA12>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-MSN>>,<<PRY-MSN
Neembucu>>,<<PA13>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-NMB>>,<<PRY-NMB
Paraguari>>,<<PA15>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-PRG>>,<<PRY-PRG
Corrientes>>,<<AR06>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-CRR>>,<<ARG-CRR
Entre Rios>>,<<AR08>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-ERI>>,<<ARG-ERI
Santa Fe>>,<<AR21>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-SFE>>,<<ARG-SFE
Artigas>>,<<UY01>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-ART>>,<<URY-ART
Flores>>,<<UY06>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-FLR>>,<<URY-FLR
Paysandu>>,<<UY11>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-PYS>>,<<URY-PYS
Rio Negro>>,<<UY12>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-RNE>>,<<URY-RNE
Salto>>,<<UY15>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-SAL>>,<<URY-SAL
Soriano>>,<<UY17>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-SOR>>,<<URY-SOR
Rio Grande do Sul>>,<<BR23>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-RGS>>,<<BRA-RGS
Sao Paulo>>,<<BR27>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-SPA>>,<<BRA-SPA
Cerro Largo>>,<<UY03>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-CLA>>,<<URY-CLA
Durazno>>,<<UY05>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-DRZ>>,<<URY-DRZ
Rivera>>,<<UY13>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-RIV>>,<<URY-RIV
Tacuarembo>>,<<UY18>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-TCR>>,<<URY-TCR
Treinta y Tres>>,<<UY19>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-TYT>>,<<URY-TYT
Misiones>>,<<AR14>>,<<Argentina>>,<<AR>>,<<ARG>>,<<ARG-MSN>>,<<ARG-MSN
Parana>>,<<BR18>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-PAN>>,<<BRA-PAN
Santa Catarina>>,<<BR26>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-SCT>>,<<BRA-SCT
Amambay>>,<<PA02>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-AMM>>,<<PRY-AMM
Alto Parana>>,<<PA01>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-APA>>,<<PRY-APA
Caaguazu>>,<<PA04>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CAA>>,<<PRY-CAA
Caazapa>>,<<PA05>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CAZ>>,<<PRY-CAZ
Canindeyu>>,<<PA19>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-CNN>>,<<PRY-CNN
Itapua>>,<<PA11>>,<<Paraguay>>,<<PA>>,<<PRY>>,<<PRY-ITA>>,<<PRY-ITA
Canelones>>,<<UY02>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-CNL>>,<<URY-CNL
Florida>>,<<UY07>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-FLD>>,<<URY-FLD
Lavalleja>>,<<UY08>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-LVL>>,<<URY-LVL
Maldonado>>,<<UY09>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-MLD>>,<<URY-MLD
Montevideo>>,<<UY10>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-MNT>>,<<URY-MNT
Rocha>>,<<UY14>>,<<Uruguay>>,<<UY>>,<<URY>>,<<URY-ROC>>,<<URY-ROC
Ceara>>,<<BR06>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-CEA>>,<<BRA-CEA
Litigated Zone>>,<<BR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-LT2>>,<<BRA-LT2
Litigated Zone>>,<<BR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-LT3>>,<<BRA-LT3
Litigated Zone>>,<<BR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-LT4>>,<<BRA-LT4
Piaui>>,<<BR20>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-PIA>>,<<BRA-PIA
